Player,Player Short Name,Team,Position,Pts,Owner
Brandon King,b king,wi,bat,72,NTKESH
Sanjay Krishnamurthi,s krishnamurthi,usa,bat,71,UNDRAFTED
Nicholas Kirton,n kirton,can,bat,70,UNDRAFTED
Colin Ackermann,c ackermann,neth,alr,69,UNDRAFTED
Salman Agha,s agha,pak,bat,68,NTKESH
Shah Faisal,s faisal,oman,bat,68,UNDRAFTED
Bernard Scholtz,b scholtz,nam,bowl,68,UNDRAFTED
Kushal Bhurtel,k bhurtel,nep,bat,67,UNDRAFTED
Rachin Ravindra,r ravindra,nz,alr,66,UNDRAFTED
Curtis Campher,c campher,ire,alr,66,UNDRAFTED
Sandeep Lamichhane,s lamichhane,nep,bowl,65,UNDRAFTED
Hammad Mirza,h mirza,oman,wk,65,UNDRAFTED
Pathum Nissanka,p nissanka,sl,bat,64,SRIRAM
Kaleem Sana,k sana,can,bowl,62,UNDRAFTED
Vinayak Shukla,v shukla,oman,wk,61,UNDRAFTED
Mayank Kumar,m kumar,uae,bat,60,UNDRAFTED
Sanju Samson,s samson,ind,wk,60,COLDTAKER
Mujeeb Ur Rahman,m ur rahman,afgh,bowl,59,COLDTAKER
Aasif Sheikh,a sheikh,nep,wk,59,UNDRAFTED
Aarif Sheikh,a sheikh,nep,bat,58,UNDRAFTED
Ali Hasan,a hasan,ita,bowl,56,UNDRAFTED
Cooper Connolly,c connolly,aus,alr,53,SRIRAM
Darwish Rasooli,d rasooli,afgh,bat,52,AKSHAYM
Zane Green,z green,nam,wk,52,UNDRAFTED
Mohammad Nadeem,m nadeem,oman,bowl,51,UNDRAFTED
Fred Klaassen,f klaassen,neth,bowl,50,UNDRAFTED
Ruben Trumpelmann,r trumpelmann,nam,bowl,49,UNDRAFTED
Ibrahim Zadran,i zadran,afgh,bat,45,NTKESH
Tashinga Musekiwa,t musekiwa,zim,bat,45,UNDRAFTED
Jj Smit,jj smit,nam,alr,44,UNDRAFTED
Glenn Maxwell,g maxwell,aus,alr,43,DS&PS
Ali Khan,a khan,usa,bowl,41,UNDRAFTED
Nosthush Kenjige,n kenjige,usa,bowl,41,UNDRAFTED
Dilon Heyliger,d heyliger,can,bowl,41,UNDRAFTED
Sediqullah Atal,s atal,afgh,bat,40,NTKESH
Mohammad Nabi,m nabi,afgh,alr,39,COLDTAKER
Jaspreet Singh,j singh,ita,bowl,39,UNDRAFTED
Wellington Masakadza,w masakadza,zim,bowl,39,UNDRAFTED
Matthew Cross,m cross,scot,wk,36,UNDRAFTED
Karan Kc,k kc,nep,alr,35,UNDRAFTED
Ben Calitz,b calitz,ire,bat,35,UNDRAFTED
Paul Stirling,p stirling,ire,bat,35,DS&PS
Nandan Yadav,n yadav,nep,bowl,34,UNDRAFTED
Luke Wood,l wood,eng,bowl,34,UNDRAFTED
Shreyas Movva,s movva,can,wk,33,UNDRAFTED
Willem Myburgh,w myburgh,nam,alr,33,UNDRAFTED
Saurabh Netravalkar,s netravalkar,usa,bowl,32,UNDRAFTED
Matthew Kuhnemann,m kuhnemann,aus,bowl,31,UNDRAFTED
Travis Head,t head,aus,bat,31,NEELA
Max O'Dowd,m o'dowd,neth,bat,31,UNDRAFTED
Gian-Piero Meade,g meade,ita,wk,29,UNDRAFTED
Zach Lion-Cachet,z lion-cachet,neth,alr,29,UNDRAFTED
Yuvraj Samra,y samra,can,bat,28,UNDRAFTED
Sher Malla,s malla,nep,bowl,27,UNDRAFTED
Dilpreet Bajwa,d bajwa,can,alr,26,UNDRAFTED
Fazalhaq Farooqi,f farooqi,afgh,bowl,24,SK
Akeal Hosein,a hosein,wi,bowl,22,UNDRAFTED
Graeme Cremer,g cremer,zim,bowl,21,UNDRAFTED
Nadeem Khan,n khan,oman,alr,21,UNDRAFTED
Noor Ahmad,n ahmad,afgh,bowl,20,NTKESH
George Linde,g linde,sa,alr,19,MAHAARAJANMG
Jatinder Singh,j singh,oman,bat,19,UNDRAFTED
Malan Kruger,m kruger,nam,bat,19,UNDRAFTED
Jay Odedra,j odedra,oman,bowl,18,UNDRAFTED
Xavier Bartlett,x bartlett,aus,bowl,18,SRIRAM
Grant Stewart,g stewart,ita,alr,17,UNDRAFTED
Ashish Odedara,a odedara,oman,bat,16,UNDRAFTED
Rinku Singh,r singh,ind,bat,16,AKSHAYM
Marcus Campopiano,m campopiano,ita,wk,15,UNDRAFTED
Tony Munyonga,t munyonga,zim,bat,15,UNDRAFTED
Jacob Duffy,j duffy,nz,bowl,13,SRIRAM
Ben Shikongo,b shikongo,nam,bowl,12,UNDRAFTED
Dushan Hemantha,d hemantha,sl,bowl,11,UNDRAFTED
Dion Myers,d myers,zim,bat,9,UNDRAFTED
Matthew Forde,m forde,wi,bowl,8,UNDRAFTED
Tim Tector,t tector,ire,bat,8,UNDRAFTED
Dylan Leicher,d leicher,nam,alr,8,UNDRAFTED
Harshit Kaushik,h kaushik,uae,alr,5,UNDRAFTED
Jiten Ramanandi,j ramanandi,oman,bowl,5,UNDRAFTED
Gulsan Jha,g jha,nep,alr,4,UNDRAFTED
Ben Dwarshuis,b dwarshuis,aus,bowl,3,UNDRAFTED
Simranjeet Singh,s singh,uae,bowl,0,UNDRAFTED
Muhammad Zohaib,m zohaib,uae,bat,0,UNDRAFTED
Haider Ali,h ali,uae,bat,0,UNDRAFTED
Shehan Jayasuriya,s jayasuriya,usa,alr,0,UNDRAFTED
Jasdeep Singh,j singh,usa,bowl,0,UNDRAFTED
Shivam Sharma,s sharma,can,alr,0,UNDRAFTED
Khawaja Nafay,k nafay,pak,wk,0,AKSHAYM
Naseem Shah,n shah,pak,bowl,0,SUDARSHAN
Fakhar Zaman,f zaman,pak,bat,0,COLDTAKER
Finlay Mccreath,f mccreath,scot,bat,0,UNDRAFTED
Zainullah Ihsan,z ihsan,scot,bowl,0,UNDRAFTED
Chris Greaves,c greaves,scot,alr,0,UNDRAFTED
Quentin Sampson,q sampson,wi,bat,0,UNDRAFTED
Jayden Seales,j seales,wi,bowl,0,UNDRAFTED
Johnson Charles,j charles,wi,bat,0,UNDRAFTED
Jason Smith,j smith,sa,bat,0,SUDARSHAN
Anrich Nortje,a nortje,sa,bowl,0,DS&PS
Kwena Maphaka,k maphaka,sa,bowl,0,UNDRAFTED
Ish Sodhi,i sodhi,nz,bowl,0,UNDRAFTED
Adam Milne,a milne,nz,bowl,0,UNDRAFTED
Devon Conway,d conway,nz,bat,0,MAHAARAJANMG
Michael Bracewell,m bracewell,nz,alr,0,UNDRAFTED
Ajayveer Hundal,a hundal,can,alr,0,UNDRAFTED
Ravinderpal Singh,r singh,can,bat,0,UNDRAFTED
Kanwarpal Tathgur,k tathgur,can,wk,0,UNDRAFTED
Shahidullah Kamal,s kamal,afgh,alr,0,UNDRAFTED
Abdollah Ahmadzai,a ahmadzai,afgh,bowl,0,UNDRAFTED
Mohammad Ishaq,m ishaq,afgh,wk,0,UNDRAFTED
Basir Ahamad,b ahamad,nep,alr,0,UNDRAFTED
Sompal Kami,s kami,nep,bowl,0,UNDRAFTED
Sundeep Jora,s jora,nep,bat,0,UNDRAFTED
Zain Ali,z ali,ita,bowl,0,UNDRAFTED
Syed Naqvi,s naqvi,ita,bat,0,UNDRAFTED
Wayne Madsen,w madsen,ita,bat,0,UNDRAFTED
Josh Tongue,j tongue,eng,bowl,0,UNDRAFTED
Ben Duckett,b duckett,eng,bat,0,MAHAARAJANMG
Rehan Ahmed,r ahmed,eng,alr,0,UNDRAFTED
Tinotenda Maposa,t maposa,zim,bowl,0,UNDRAFTED
Clive Madande,c madande,zim,wk,0,UNDRAFTED
Traveen Mathew,t mathew,sl,bowl,0,UNDRAFTED
Vijayakanth Viyaskanth,v viyaskanth,sl,bowl,0,UNDRAFTED
